pdb,dataset,n_pockets_true,n_pockets_pred,matched
6CIQ_AD_,test,2,2,0
3J82_ACBD_,test,3,3,0
6FUA_AC_,test,1,0,0
2WHX_AC_,test,1,2,0
4YRY_AB_,test,3,2,2
4NL0_A_,test,1,0,0
2JI7_ACBD_,test,4,4,4
3DKP_A_,test,2,0,0
1A59_AB_,test,2,2,0
7OQR_A_,test,1,3,0
1M7H_A_,test,1,0,0
2I5B_AB_,test,2,4,2
5FJN_A_,test,1,3,1
1PZ1_A_,test,1,2,1
2V3A_A_,test,1,3,0
6RU8_AE_,test,1,2,0
2B9I_AC_,test,1,1,0
4U9Y_A_,test,1,3,0
5EOY_AB_,test,2,2,0
1SC6_ACBD_,test,4,2,0
3AR3_A_,test,1,1,0
5IRN_A_,test,1,1,1
4FRY_AB_,test,2,3,1
7QBS_AB_,test,1,2,1
3UAG_A_,test,1,3,0
1AO0_ACBD_,test,4,2,2
6C76_A_,test,1,2,1
6H9S_A_,test,1,1,0
3GYJ_A_,test,1,2,1
2F8L_A_,test,1,2,0
2V1O_ACBEDF_,test,6,2,0
6LK2_A_,test,1,0,0
1EFP_AB_,test,1,2,0
2YY8_AB_,test,1,2,1
6HQQ_A_,test,0,0,0
2PFR_A_,test,1,3,0
3U9Z_AC_,test,1,2,0
4DF3_A_,test,1,0,0
4CNK_A_,test,1,2,0
3QB8_A_,test,1,2,0
5UZX_A_,test,1,2,0
3U8P_A_,test,1,2,0
1Y4S_AB_,test,2,2,2
6OM5_A_,test,1,2,0
6NOR_A_,test,1,0,0
4K8C_A_,test,1,3,0
1MXB_AB_,test,2,4,0
6KYF_A_,test,1,0,0
3FBU_ACBD_,test,1,2,0
4RS2_A_,test,1,2,0
3A16_AB_,test,2,2,2
6GNF_A_,test,1,3,0
