pdb,cluster,chains
2PO6,62,BCAD
1USY,16502,ACEH
1USY,16502,ACEH
1USY,3815,ACEH
1USY,3815,ACEH
4P9H,843,ABCD
4P9H,345,ABCD
4P9H,1,ABCD
4P9H,1,ABCD
7M6T,5286,ABCD
7M6T,492,ABCD
7M6T,516,ABCD
7M6T,28442,ABCD
5HBV,1116,ABCD
5HBV,1988,ABCD
5HBV,1,ABCD
5HBV,1,ABCD
7M72,322,ABCD
7M72,6,ABCD
7M72,63,ABCD
7M72,62,ABCD
6EAY,1,BDAC
6EAY,1452,BDAC
6EAY,1,BDAC
6EAY,1655,BDAC
5HDB,1491,ABEF
5HDB,963,ABEF
5HDB,1,ABEF
5HDB,1,ABEF
5IBL,78,ABCD
5IBL,74,ABCD
5IBL,1,ABCD
5IBL,1,ABCD
7AU5,11,ABEF
7AU5,11,ABEF
7AU5,230,ABEF
7AU5,249,ABEF
7LUA,269,ABGH
7LUA,283,ABGH
7LUA,1,ABGH
7LUA,1,ABGH
6CEB,2182,ACDE
6CEB,7922,ACDE
6CEB,125,ACDE
6CEB,134,ACDE
7LF7,1,ABCD
7LF7,1,ABCD
7LF7,1,ABCD
7LF7,11329,ABCD
6CE9,2182,ACDE
6CE9,7922,ACDE
6CE9,125,ACDE
6CE9,134,ACDE
2NY5,1358,ABDC
2NY5,843,ABDC
2NY5,1,ABDC
2NY5,1,ABDC
2SEB,358,BCDA
2SEB,473,BCDA
2SEB,38195,BCDA
2SEB,253,BCDA
7LL2,269,ABCD
7LL2,283,ABCD
7LL2,1,ABCD
7LL2,1,ABCD
2NXY,1358,ABCD
2NXY,843,ABCD
2NXY,1,ABCD
2NXY,1,ABCD
4B9K,492,ABCE
4B9K,516,ABCE
4B9K,791,ABCE
4B9K,516,ABCE
5HCD,7036,ABCD
5HCD,7035,ABCD
5HCD,5544,ABCD
5HCD,40673,ABCD
2NY6,1358,ABCD
2NY6,843,ABCD
2NY6,1,ABCD
2NY6,1,ABCD
5HCC,7036,ABCD
5HCC,7035,ABCD
5HCC,5544,ABCD
5HCC,12765,ABCD
6EA5,6341,ABGH
6EA5,8429,ABGH
6EA5,1,ABGH
6EA5,1,ABGH
6EA7,6341,ABHG
6EA7,8429,ABHG
6EA7,1,ABHG
6EA7,1,ABHG
2NXZ,1358,ABCD
2NXZ,843,ABCD
2NXZ,1,ABCD
2NXZ,1,ABCD
5HBT,1988,ABCD
5HBT,1,ABCD
5HBT,1,ABCD
5HBT,1116,ABCD
2NY0,1358,ABCD
2NY0,843,ABCD
2NY0,1,ABCD
2NY0,1,ABCD
2NY1,1358,ABCD
2NY1,843,ABCD
2NY1,1,ABCD
2NY1,1,ABCD
2NY2,1358,ABCD
2NY2,843,ABCD
2NY2,1,ABCD
2NY2,1,ABCD
2NY3,1358,ABCD
2NY3,843,ABCD
2NY3,1,ABCD
2NY3,1,ABCD
5HCE,7036,ABCD
5HCE,7035,ABCD
5HCE,5544,ABCD
5HCE,12765,ABCD
2NY4,1358,ABCD
2NY4,843,ABCD
2NY4,1,ABCD
2NY4,1,ABCD
4R2G,1358,ABCD
4R2G,843,ABCD
4R2G,1,ABCD
4R2G,1,ABCD
7KBJ,14880,CABD
7KBJ,13626,CABD
7KBJ,14879,CABD
7KBJ,14881,CABD
7KEJ,1452,ABCD
7KEJ,1,ABCD
7KEJ,1,ABCD
7KEJ,6541,ABCD
6CNK,3854,ACFG
6CNK,3854,ACFG
6CNK,1,ACFG
6CNK,433,ACFG
7M8R,2772,DABC
7M8R,1035,DABC
7M8R,1053,DABC
7M8R,1054,DABC
6DZW,924,ABCD
6DZW,1,ABCD
6DZW,2,ABCD
6DZW,2,ABCD
7KBR,13626,ABCD
7KBR,14879,ABCD
7KBR,14880,ABCD
7KBR,14881,ABCD
7KC1,74,ABCD
7KC1,1872,ABCD
7KC1,1,ABCD
7KC1,1,ABCD
2Y5T,1,ACDB
2Y5T,17215,ACDB
2Y5T,39154,ACDB
2Y5T,1,ACDB
3ZTN,74,ABCD
3ZTN,78,ABCD
3ZTN,1,ABCD
3ZTN,1,ABCD
6CNJ,3854,BAFG
6CNJ,3854,BAFG
6CNJ,1,BAFG
6CNJ,433,BAFG
6DZY,924,ABCD
6DZY,2,ABCD
6DZY,2,ABCD
6DZY,1,ABCD
2OJE,2612,CABD
2OJE,253,CABD
2OJE,358,CABD
2OJE,11051,CABD
7KCR,704,CDAB
7KCR,1027,CDAB
7KCR,2,CDAB
7KCR,2,CDAB
7LXN,1,DABC
7LXN,269,DABC
7LXN,283,DABC
7LXN,1,DABC
6DZL,1655,BCDA
6DZL,2,BCDA
6DZL,2,BCDA
6DZL,1452,BCDA
7LR3,1,ABCD
7LR3,1,ABCD
7LR3,14985,ABCD
7LR3,14985,ABCD
7LXM,269,ABCD
7LXM,283,ABCD
7LXM,1,ABCD
7LXM,1,ABCD
7M8Q,1035,ABCD
7M8Q,1053,ABCD
7M8Q,1054,ABCD
7M8Q,2772,ABCD
2QKI,1313,ABCG
2QKI,6316,ABCG
2QKI,6317,ABCG
2QKI,29809,ABCG
1X31,5533,ACBD
1X31,5535,ACBD
1X31,5534,ACBD
1X31,5536,ACBD
2XWB,1313,ABEG
2XWB,1842,ABEG
2XWB,5247,ABEG
2XWB,4,ABEG
7JTO,333,ABCD
7JTO,492,ABCD
7JTO,516,ABCD
7JTO,791,ABCD
4RFN,345,ABCD
4RFN,1,ABCD
4RFN,1,ABCD
4RFN,2352,ABCD
4RFO,345,ABCD
4RFO,2352,ABCD
4RFO,1,ABCD
4RFO,1,ABCD
7LL1,269,ABGH
7LL1,283,ABGH
7LL1,1,ABGH
7LL1,1,ABGH
6CIT,382,ABCD
6CIT,669,ABCD
6CIT,535,ABCD
6CIT,8775,ABCD
3WCT,505,ABCD
3WCT,505,ABCD
3WCT,505,ABCD
3WCT,505,ABCD
7JTP,492,ABCD
7JTP,516,ABCD
7JTP,791,ABCD
7JTP,333,ABCD
3WCW,505,ABCD
3WCW,505,ABCD
3WCW,505,ABCD
3WCW,505,ABCD
3WCV,505,ABCD
3WCV,505,ABCD
3WCV,505,ABCD
3WCV,505,ABCD
5IK2,562,ADGH
5IK2,261,ADGH
5IK2,250,ADGH
5IK2,960,ADGH
6DZM,1655,BDAC
6DZM,2,BDAC
6DZM,1452,BDAC
6DZM,2,BDAC
3WCU,505,ABCD
3WCU,505,ABCD
3WCU,505,ABCD
3WCU,505,ABCD
7K37,1,GABH
7K37,74,GABH
7K37,1872,GABH
7K37,1,GABH
4P4K,253,ABCD
4P4K,462,ABCD
4P4K,63,ABCD
4P4K,62,ABCD
4NQD,10,ABDE
4NQD,6,ABDE
4NQD,63,ABDE
4NQD,62,ABDE
1VRQ,5533,ABCD
1VRQ,5534,ABCD
1VRQ,5535,ABCD
1VRQ,5536,ABCD
4Q7J,5869,ABCD
4Q7J,348,ABCD
4Q7J,14084,ABCD
4Q7J,32457,ABCD
5JCB,11,ABEF
5JCB,11,ABEF
5JCB,230,ABEF
5JCB,249,ABEF
4AJY,492,ABCD
4AJY,516,ABCD
4AJY,14266,ABCD
4AJY,791,ABCD
1VRN,1178,ACBD
1VRN,288,ACBD
1VRN,293,ACBD
1VRN,295,ACBD
5KJR,345,ACDB
5KJR,1,ACDB
5KJR,1,ACDB
5KJR,2352,ACDB
5GJS,78,BDAC
5GJS,1,BDAC
5GJS,74,BDAC
5GJS,1,BDAC
4O2B,11,ABEF
4O2B,11,ABEF
4O2B,230,ABEF
4O2B,249,ABEF
4O2A,11,ABEF
4O2A,11,ABEF
4O2A,230,ABEF
4O2A,249,ABEF
6DCQ,269,ABGH
6DCQ,11434,ABGH
6DCQ,1,ABGH
6DCQ,1,ABGH
6ZHC,791,ABCD
6ZHC,492,ABCD
6ZHC,516,ABCD
6ZHC,1500,ABCD
7MFG,74,ABCD
7MFG,1872,ABCD
7MFG,2,ABCD
7MFG,2,ABCD
6ZIA,1178,ABCD
6ZIA,293,ABCD
6ZIA,288,ABCD
6ZIA,295,ABCD
5GJT,74,ADBC
5GJT,1,ADBC
5GJT,78,ADBC
5GJT,1,ADBC
5H37,704,ACGH
5H37,1027,ACGH
5H37,2,ACGH
5H37,2,ACGH
7JIX,74,ABDC
7JIX,78,ABDC
7JIX,1,ABDC
7JIX,1,ABDC
4O58,74,ABCD
4O58,78,ABCD
4O58,1,ABCD
4O58,1,ABCD
5KNC,378,ADGH
5KNC,772,ADGH
5KNC,5227,ADGH
5KNC,5228,ADGH
5KND,378,ADGH
5KND,772,ADGH
5KND,5227,ADGH
5KND,5228,ADGH
4R4F,345,ABCD
4R4F,1,ABCD
4R4F,1,ABCD
4R4F,2352,ABCD
5HKK,562,ADGH
5HKK,261,ADGH
5HKK,250,ADGH
5HKK,960,ADGH
5JA4,4060,ABCD
5JA4,79,ABCD
5JA4,7175,ABCD
5JA4,40524,ABCD
6ZI4,1178,ABCD
6ZI4,293,ABCD
6ZI4,288,ABCD
6ZI4,295,ABCD
7MDT,269,ABCD
7MDT,283,ABCD
7MDT,2,ABCD
7MDT,2,ABCD
6ZI5,1178,ABCD
6ZI5,293,ABCD
6ZI5,288,ABCD
6ZI5,295,ABCD
6ZHW,1178,ABCD
6ZHW,293,ABCD
6ZHW,288,ABCD
6ZHW,295,ABCD
6ZI9,1178,ABCD
6ZI9,293,ABCD
6ZI9,288,ABCD
6ZI9,295,ABCD
6ZI6,1178,ABCD
6ZI6,293,ABCD
6ZI6,288,ABCD
6ZI6,295,ABCD
6ZID,1178,ABCD
6ZID,293,ABCD
6ZID,288,ABCD
6ZID,295,ABCD
5KAN,74,ABIG
5KAN,78,ABIG
5KAN,1,ABIG
5KAN,1,ABIG
4O4J,11,ABEF
4O4J,11,ABEF
4O4J,230,ABEF
4O4J,249,ABEF
5JO4,1,ABCD
5JO4,1,ABCD
5JO4,1,ABCD
5JO4,1,ABCD
4O02,1661,ABCD
4O02,1582,ABCD
4O02,1,ABCD
4O02,1,ABCD
4NO0,10,ABCD
4NO0,6,ABCD
4NO0,22414,ABCD
4NO0,1070,ABCD
4PJA,10,ABEF
4PJA,6,ABEF
4PJA,63,ABEF
4PJA,62,ABEF
4NM8,74,ABGH
4NM8,78,ABGH
4NM8,1,ABGH
4NM8,1,ABGH
6DID,269,ABHG
6DID,283,ABHG
6DID,1,ABHG
6DID,1,ABHG
4PJB,10,ABEF
4PJB,6,ABEF
4PJB,63,ABEF
4PJB,62,ABEF
4PJD,10,ABEF
4PJD,6,ABEF
4PJD,63,ABEF
4PJD,62,ABEF
7L8P,1491,ABEF
7L8P,963,ABEF
7L8P,1,ABEF
7L8P,1,ABEF
5K59,11283,ABEF
5K59,10665,ABEF
5K59,1,ABEF
5K59,1,ABEF
4PJE,10,ABEF
4PJE,6,ABEF
4PJE,63,ABEF
4PJE,62,ABEF
4PY8,74,ABCD
4PY8,78,ABCD
4PY8,1,ABCD
4PY8,1,ABCD
7AHV,1,ABCD
7AHV,1,ABCD
7AHV,1781,ABCD
7AHV,4,ABCD
4PJF,10,ABEF
4PJF,6,ABEF
4PJF,63,ABEF
4PJF,62,ABEF
5JNE,30594,ABCD
5JNE,227,ABCD
5JNE,855,ABCD
5JNE,420,ABCD
4PJ9,10,ABCD
4PJ9,6,ABCD
4PJ9,63,ABCD
4PJ9,62,ABCD
4PJI,10,ABEF
4PJI,6,ABEF
4PJI,63,ABEF
4PJI,62,ABEF
4PJH,10,ABEF
4PJH,6,ABEF
4PJH,63,ABEF
4PJH,62,ABEF
4NAW,7509,ABCD
4NAW,5385,ABCD
4NAW,14610,ABCD
4NAW,39265,ABCD
6DFG,269,ABCD
6DFG,283,ABCD
6DFG,1,ABCD
6DFG,1,ABCD
3ZDX,1491,ABEF
3ZDX,963,ABEF
3ZDX,1,ABEF
3ZDX,1,ABEF
2PVO,4503,ABCD
2PVO,6413,ABCD
2PVO,8800,ABCD
2PVO,725,ABCD
4TT3,282,ADGH
4TT3,261,ADGH
4TT3,250,ADGH
4TT3,2184,ADGH
5K9Q,74,ABGI
5K9Q,78,ABGI
5K9Q,1,ABGI
5K9Q,1,ABGI
5JH7,11,ABEF
5JH7,11,ABEF
5JH7,230,ABEF
5JH7,249,ABEF
4PJX,10,ABEF
4PJX,6,ABEF
4PJX,63,ABEF
4PJX,62,ABEF
2ZS0,505,ABCD
2ZS0,505,ABCD
2ZS0,505,ABCD
2ZS0,5040,ABCD
2ZS1,505,ADBC
2ZS1,5040,ADBC
2ZS1,505,ADBC
2ZS1,505,ADBC
3VR4,378,ADGH
3VR4,772,ADGH
3VR4,5227,ADGH
3VR4,5228,ADGH
6DFS,63,ABCD
6DFS,62,ABCD
6DFS,253,ABCD
6DFS,462,ABCD
7MIX,11034,DABC
7MIX,7796,DABC
7MIX,2876,DABC
7MIX,2378,DABC
5JVD,11,ABEF
5JVD,11,ABEF
5JVD,230,ABEF
5JVD,249,ABEF
6DFX,253,ABEF
6DFX,462,ABEF
6DFX,63,ABEF
6DFX,62,ABEF
5JW3,1,CDAB
5JW3,1,CDAB
5JW3,74,CDAB
5JW3,78,CDAB
6DFH,269,ABDC
6DFH,283,ABDC
6DFH,1,ABDC
6DFH,1,ABDC
7KPB,1020,ADFG
7KPB,8041,ADFG
7KPB,1,ADFG
7KPB,1,ADFG
5KNB,772,DGAH
5KNB,5227,DGAH
5KNB,378,DGAH
5KNB,5228,DGAH
7MEM,2,CDAB
7MEM,78,CDAB
7MEM,74,CDAB
7MEM,2,CDAB
7L05,11,ABEF
7L05,11,ABEF
7L05,230,ABEF
7L05,249,ABEF
7LLK,269,ABCD
7LLK,283,ABCD
7LLK,1,ABCD
7LLK,1,ABCD
6CW6,322,ABCD
6CW6,6,ABCD
6CW6,63,ABCD
6CW6,62,ABCD
4RQS,843,ABCD
4RQS,1,ABCD
4RQS,1,ABCD
4RQS,1358,ABCD
6CW9,63,ABCD
6CW9,62,ABCD
6CW9,322,ABCD
6CW9,6,ABCD
6CXE,63,ABCD
6CXE,62,ABCD
6CXE,322,ABCD
6CXE,6,ABCD
6CXF,322,ABCD
6CXF,6,ABCD
6CXF,63,ABCD
6CXF,62,ABCD
5L9W,29706,ABCD
5L9W,16852,ABCD
5L9W,29707,ABCD
5L9W,29708,ABCD
5HJ3,1,CDAB
5HJ3,1,CDAB
5HJ3,6341,CDAB
5HJ3,6965,CDAB
4CAS,1178,ABCD
4CAS,288,ABCD
4CAS,295,ABCD
4CAS,293,ABCD
5FUU,269,ABGH
5FUU,283,ABGH
5FUU,1,ABGH
5FUU,1,ABGH
6CXA,322,ABCD
6CXA,6,ABCD
6CXA,63,ABCD
6CXA,62,ABCD
6CX5,322,ABCD
6CX5,6,ABCD
6CX5,63,ABCD
6CX5,62,ABCD
2QAD,843,BCAD
2QAD,1,BCAD
2QAD,1358,BCAD
2QAD,1,BCAD
6CX7,63,ABCD
6CX7,62,ABCD
6CX7,322,ABCD
6CX7,6,ABCD
4O5I,74,ABMN
4O5I,78,ABMN
4O5I,1,ABMN
4O5I,1,ABMN
2P22,32552,ABCD
2P22,13472,ABCD
2P22,32553,ABCD
2P22,32554,ABCD
6CCB,283,ACDE
6CCB,269,ACDE
6CCB,1,ACDE
6CCB,1,ACDE
6CWB,322,ABCD
6CWB,6,ABCD
6CWB,63,ABCD
6CWB,62,ABCD
4OR5,60,ABCD
4OR5,1770,ABCD
4OR5,44337,ABCD
4OR5,44338,ABCD
4PDW,156,ABCD
4PDW,142,ABCD
4PDW,136,ABCD
4PDW,252,ABCD
4P1B,1283,ABCG
4P1B,1255,ABCG
4P1B,1284,ABCG
4P1B,1741,ABCG
5HU6,14,ABCD
5HU6,14,ABCD
5HU6,14443,ABCD
5HU6,20635,ABCD
6CUG,322,ABCD
6CUG,6,ABCD
6CUG,63,ABCD
6CUG,62,ABCD
6EG5,11,ABEF
6EG5,11,ABEF
6EG5,230,ABEF
6EG5,249,ABEF
7K39,1872,BAGH
7K39,74,BAGH
7K39,1,BAGH
7K39,1,BAGH
4R8W,74,ABCD
4R8W,78,ABCD
4R8W,1,ABCD
4R8W,1,ABCD
3ZNI,227,CABD
3ZNI,4277,CABD
3ZNI,7344,CABD
3ZNI,38,CABD
5H7O,11,ABEF
5H7O,11,ABEF
5H7O,230,ABEF
5H7O,249,ABEF
7LA4,1,ABCD
7LA4,1,ABCD
7LA4,1661,ABCD
7LA4,1582,ABCD
4APQ,322,ABCD
4APQ,6,ABCD
4APQ,63,ABCD
4APQ,62,ABCD
6CVB,156,ABCD
6CVB,136,ABCD
6CVB,142,ABCD
6CVB,252,ABCD
3VWK,322,ABCD
3VWK,6,ABCD
3VWK,63,ABCD
3VWK,62,ABCD
7KN6,116,ABCD
7KN6,2,ABCD
7KN6,1,ABCD
7KN6,1,ABCD
3VWJ,322,ABCD
3VWJ,6,ABCD
3VWJ,63,ABCD
3VWJ,62,ABCD
7M22,12892,ABCD
7M22,12893,ABCD
7M22,12894,ABCD
7M22,7441,ABCD
6CWE,322,ABCD
6CWE,6,ABCD
6CWE,63,ABCD
6CWE,62,ABCD
4PSX,14787,ABCG
4PSX,1082,ABCG
4PSX,38307,ABCG
4PSX,1029,ABCG
6CX9,322,ABCD
6CX9,6,ABCD
6CX9,63,ABCD
6CX9,62,ABCD
7B09,1,ABCD
7B09,1,ABCD
7B09,3321,ABCD
7B09,4864,ABCD
6E3H,74,ABCD
6E3H,78,ABCD
6E3H,1,ABCD
6E3H,1,ABCD
7JLK,2,ABCD
7JLK,1,ABCD
7JLK,1,ABCD
7JLK,2,ABCD
7AMR,63,ABCD
7AMR,62,ABCD
7AMR,1,ABCD
7AMR,1,ABCD
7AMS,62,BCDA
7AMS,1,BCDA
7AMS,1,BCDA
7AMS,63,BCDA
7AMP,62,BDAC
7AMP,1,BDAC
7AMP,63,BDAC
7AMP,1,BDAC
7AMQ,63,ABCD
7AMQ,62,ABCD
7AMQ,1,ABCD
7AMQ,1,ABCD
7L9E,13626,ABCD
7L9E,14879,ABCD
7L9E,14880,ABCD
7L9E,14881,ABCD
4O4H,11,ABEF
4O4H,11,ABEF
4O4H,230,ABEF
4O4H,249,ABEF
7L0L,74,BACD
7L0L,1,BACD
7L0L,1872,BACD
7L0L,1,BACD
5L2K,322,ABCD
5L2K,6,ABCD
5L2K,63,ABCD
5L2K,62,ABCD
7MD2,282,ADGH
7MD2,261,ADGH
7MD2,250,ADGH
7MD2,1004,ADGH
7MD5,134,FACE
7MD5,2182,FACE
7MD5,7922,FACE
7MD5,125,FACE
7MD3,1004,HADG
7MD3,282,HADG
7MD3,261,HADG
7MD3,250,HADG
7LO6,269,ABGH
7LO6,283,ABGH
7LO6,1,ABGH
7LO6,1,ABGH
2PRC,1178,ABCD
2PRC,288,ABCD
2PRC,295,ABCD
2PRC,293,ABCD
7KN7,1,CABD
7KN7,116,CABD
7KN7,2,CABD
7KN7,1,CABD
7JOO,2,ABCD
7JOO,1,ABCD
7JOO,1,ABCD
7JOO,15885,ABCD
2ZFO,505,ABCD
2ZFO,505,ABCD
2ZFO,505,ABCD
2ZFO,5040,ABCD
7JMO,116,ABC
7JMO,1,ABC
7JMO,1,ABC
7K66,7954,ABC
7K66,1,ABC
7K66,1,ABC
4AC7,711,ABC
4AC7,1507,ABC
4AC7,653,ABC
7K43,48,ABC
7K43,2,ABC
7K43,2,ABC
7JVA,2,ABC
7JVA,2,ABC
7JVA,48,ABC
7K45,2,ABC
7K45,2,ABC
7K45,48,ABC
6C48,32577,CEA
6C48,32578,CEA
6C48,32576,CEA
7JTG,1,ABC
7JTG,1,ABC
7JTG,3290,ABC
7B7N,17097,BAC
7B7N,30632,BAC
7B7N,30633,BAC
7JKS,345,ABC
7JKS,1,ABC
7JKS,1,ABC
4OV6,6589,ABE
4OV6,3074,ABE
4OV6,426,ABE
7JV6,48,ABC
7JV6,2,ABC
7JV6,2,ABC
7JV4,48,ADE
7JV4,2,ADE
7JV4,2,ADE
2P8O,891,ABC
2P8O,731,ABC
2P8O,720,ABC
7K4N,48,ABC
7K4N,2,ABC
7K4N,2,ABC
1XD2,12,ABC
1XD2,12,ABC
1XD2,634,ABC
7JKT,345,ABC
7JKT,1,ABC
7JKT,1,ABC
2ZXE,303,ABC
2ZXE,598,ABC
2ZXE,2029,ABC
2OZ4,16134,ABC
2OZ4,1,ABC
2OZ4,1,ABC
7JG2,18861,AEF
7JG2,3510,AEF
7JG2,5597,AEF
2OVQ,946,ABC
2OVQ,4930,ABC
2OVQ,25541,ABC
7JMP,116,ABC
7JMP,1,ABC
7JMP,1,ABC
2PG1,818,AEI
2PG1,4307,AEI
2PG1,41121,AEI
7JN5,1,ABC
7JN5,1,ABC
7JN5,116,ABC
7JMW,116,ABC
7JMW,1,ABC
7JMW,1,ABC
5HDQ,1448,ABC
5HDQ,1,ABC
5HDQ,1,ABC
2P6B,30087,ABC
2P6B,2727,ABC
2P6B,2527,ABC
7JVC,48,ABC
7JVC,1,ABC
7JVC,1,ABC
7MN5,13994,ABC
7MN5,13995,ABC
7MN5,15389,ABC
7JW0,48,ABC
7JW0,1,ABC
7JW0,1,ABC
7ALR,11,ABC
7ALR,11,ABC
7ALR,296,ABC
7L1Q,562,ADG
7L1Q,261,ADG
7L1Q,250,ADG
7AML,5469,ACD
7AML,9741,ACD
7AML,3563,ACD
7L1S,562,ADG
7L1S,261,ADG
7L1S,250,ADG
7B0B,1,ACB
7B0B,116,ACB
7B0B,1,ACB
7B18,2,DEA
7B18,2,DEA
7B18,48,DEA
5H6Q,909,ABC
5H6Q,2296,ABC
5H6Q,1030,ABC
7B0X,2783,ABC
7B0X,13956,ABC
7B0X,13957,ABC
7L02,1022,ADE
7L02,1,ADE
7L02,1,ADE
5H6R,909,ABC
5H6R,2296,ABC
5H6R,1030,ABC
7L09,1022,ADE
7L09,1,ADE
7L09,1,ADE
7KO8,3573,BAC
7KO8,3125,BAC
7KO8,1305,BAC
3ZKM,2707,ACD
3ZKM,1,ACD
3ZKM,1,ACD
3ZKN,2707,ACD
3ZKN,1,ACD
3ZKN,1,ACD
7L06,1022,ADE
7L06,1,ADE
7L06,1,ADE
3ZKJ,16350,ABC
3ZKJ,516,ABC
3ZKJ,492,ABC
7KMG,1,ABC
7KMG,1,ABC
7KMG,116,ABC
7KMI,1,ABC
7KMI,1,ABC
7KMI,116,ABC
7KMH,1,ABC
7KMH,1,ABC
7KMH,116,ABC
7AOS,332,ACB
7AOS,40697,ACB
7AOS,59,ACB
7KMK,48,ADE
7KMK,1,ADE
7KMK,1,ADE
7KML,1,DAE
7KML,48,DAE
7KML,1,DAE
3ZNG,16350,ABC
3ZNG,516,ABC
3ZNG,492,ABC
7KPG,1,ABC
7KPG,1,ABC
7KPG,2623,ABC
7KQH,10137,ABC
7KQH,1,ABC
7KQH,1,ABC
7KQI,1,ABC
7KQI,1,ABC
7KQI,10137,ABC
7AI0,3006,ABC
7AI0,227,ABC
7AI0,38,ABC
7AIZ,880,ABC
7AIZ,4406,ABC
7AIZ,8025,ABC
7L5E,382,ABC
7L5E,669,ABC
7L5E,535,ABC
5GRD,10,ABC
5GRD,6,ABC
5GRD,23378,ABC
8GCH,891,ABCD
8GCH,731,ABCD
8GCH,720,ABCD
4R0L,2,ABE
4R0L,2120,ABE
4R0L,2,ABE
7L56,48,ADE
7L56,2,ADE
7L56,2,ADE
7L58,48,ADE
7L58,2,ADE
7L58,2,ADE
7L57,48,ADE
7L57,2,ADE
7L57,2,ADE
7AKK,1313,ABC
7AKK,1842,ABC
7AKK,966,ABC
7AKJ,48,ACD
7AKJ,2,ACD
7AKJ,2,ACD
7L3N,48,ADE
7L3N,1,ADE
7L3N,1,ADE
7AKD,48,ADE
7AKD,2,ADE
7AKD,2,ADE
7KS9,1,ABC
7KS9,1,ABC
7KS9,48,ABC
7AM7,118,ABD
7AM7,118,ABD
7AM7,21615,ABD
7L2C,4011,ACD
7L2C,1,ACD
7L2C,1,ACD
7KQB,1022,ADE
7KQB,433,ADE
7KQB,1,ADE
7L2E,48,ADE
7L2E,1,ADE
7L2E,1,ADE
7L2D,48,ABC
7L2D,1,ABC
7L2D,1,ABC
7AM6,118,ABD
7AM6,118,ABD
7AM6,21615,ABD
7KQL,1,ABC
7KQL,1,ABC
7KQL,25136,ABC
7KQG,1,CAB
7KQG,10137,CAB
7KQG,1,CAB
7L2F,48,ADE
7L2F,1,ADE
7L2F,1,ADE
7B2C,1629,BCA
7B2C,1728,BCA
7B2C,1630,BCA
7KN4,116,ACD
7KN4,1,ACD
7KN4,1,ACD
7KN3,116,ACD
7KN3,1,ACD
7KN3,1,ACD
7KN5,116,ACE
7KN5,2,ACE
7KN5,2,ACE
3ZUW,293,ABC
3ZUW,288,ABC
3ZUW,295,ABC
7KD0,244,ABC
7KD0,840,ABC
7KD0,2,ABC
7B5A,711,ABC
7B5A,1507,ABC
7B5A,653,ABC
7B58,711,ACB
7B58,653,ACB
7B58,1507,ACB
7KBK,840,BAC
7KBK,244,BAC
7KBK,2,BAC
7B59,711,ABC
7B59,1507,ABC
7B59,653,ABC
7KBI,244,ABC
7KBI,840,ABC
7KBI,2,ABC
7K9K,116,ABC
7K9K,2,ABC
7K9K,2,ABC
7K9J,48,ADG
7K9J,2,ADG
7K9J,2,ADG
7K9I,116,ABC
7K9I,2,ABC
7K9I,2,ABC
7K9H,48,ADF
7K9H,2,ADF
7K9H,2,ADF
7K8T,48,ADE
7K8T,1,ADE
7K8T,1,ADE
7K8S,48,ADE
7K8S,1,ADE
7K8S,1,ADE
7K8M,1,ABC
7K8M,1,ABC
7K8M,116,ABC
7K90,1,DGA
7K90,1,DGA
7K90,48,DGA
7K8Z,48,ADE
7K8Z,1,ADE
7K8Z,1,ADE
7K8Y,48,ADE
7K8Y,1,ADE
